file	0	10	20	30	40	50	60	70	80	90	100	110	120	130	140	150	160	170	180	label
INSEL_LB_S_LED_70_D65_4000K.ies	5855.6	5818.7	5564.5	3878.9	1481.6	436.8	185.7	61.3	4.5	0.1	0	0	0	0	0	0	0	0	0	2
LEADER_LED_140_D75_5000K.ies	357.5	15318.6	14656.1	10160.6	3509.7	827.1	261.3	63.5	7.7	0.3	0	0	0	0	0	0	0	0	0	2
LEADER_LED_50_D75_5000K.ies	357.5	5916.1	5660.3	3924.1	1355.5	319.4	100.9	24.5	3	0.1	0	0	0	0	0	0	0	0	0	2
MATRIX_S_LED_55_(60)_5000K.ies	7073.5	7028.1	5871.7	2670.7	142	10.7	4.9	3.2	0.2	0.2	0	0	0	0	0	0	0	0	0	2
PLC_002.ies	328.7	319.9	298.4	263.7	218.9	166.9	108	48.7	9.4	0	0	0	0	0	0	0	0	0	0	2
PRBLUX_R_418.ies	1992.7	1993.9	1844.1	1541.5	532.5	16.3	2.3	0.4	0.1	0	0	0	0	0	0	0	0	0	0	2
PRB_S_218.ies	888.7	864	796.3	691.2	555.6	370.3	154.3	24.7	0	0	0	0	0	0	0	0	0	0	0	2
PRB_S_418.ies	1634.1	1604.8	1485.9	1292.4	1036.7	689.8	271.9	8.2	0.6	0	0	0	0	0	0	0	0	0	0	2
PRS_R_ECO_LED_1200_600_4000K.ies	3031.8	2922	2597.5	2182.9	1785.8	1393.1	995.8	597.6	234.7	5.4	0	0	0	0	0	0	0	0	0	2
PRS_R_ECO_LED_300_4000K.ies	357.5	601.8	536.7	457.8	368.3	281.9	198.2	116.1	44.8	0.2	0	0	0	0	0	0	0	0	0	2
SAFARI_DL_LED_20_4000K.ies	823	794.5	718.1	609	483.2	354.1	228.1	115.6	29.8	0.1	0	0	0	0	0	0	0	0	0	2
SAFARI_DL_LED_26_4000K.ies	1162.2	1113.7	990.3	820.1	615	410.8	242.2	114.1	27.8	0.1	0	0	0	0	0	0	0	0	0	2
SAFARI_DL_LED_31_4000K.ies	357.5	1257	1147.5	981.6	785.9	575.8	373.1	191.4	52.1	1.3	0	0	0	0	0	0	0	0	0	2
SPORTLUX_380.ies	5905.8	5516.6	4922.5	4158.6	3287.8	2359.8	1428	656.8	217.7	27.7	0	0	0	0	0	0	0	0	0	2
STANDART_PRS_LED_595_4000K.ies	1340.9	1291	1187.8	1049.3	886.9	706.9	516.9	317.5	125.8	2.5	0	0	0	0	0	0	0	0	0	2
UNIQUE_DL_LED_21_4000K.ies	771.7	744.4	671.1	563.7	441.1	319.3	206.4	106.6	32	0.4	0	0	0	0	0	0	0	0	0	2
ALS_OPL_258.ies	1284.82178840637	1294.12228832245	1269.77188854218	1210.24868907928	1117.41278991699	1004.28489093781	863.762792205811	693.140893745422	512.372995376587	392.650196456909	366.608796691895	329.406797027588	283.242497444153	232.343397903442	189.222898292542	144.073198699951	95.7105991363525	53.9428995132446	30.77619972229	3
ANTARES_AN-203_LED.ies	58.2	58.2	54.5	51.9	42.6	28.6	23.3	18.1	12.7	14.3	14.1	6.7	1.8	0.6	0.3	0.3	0.3	0.1	0	3
BAT_UNI_LED_1500_4000K.ies	747.2	742.5	710.7	659.7	591.3	509.9	418.4	328.8	244.8	173.3	117.1	74.5	43.4	22	7.5	0	0	0	0	3
BAT_UNI_LED_1500_RS_4000K.ies	880.4	885.2	834.5	764.8	681.7	588	481.3	312.6	28.9	0.2	0	0	0	0	0	0	0	0	0	3
DLO_118.ies	160.7	158.6	150.1	136.6	118.1	95.8	70.6	43.8	18.1	0	0	0	0	0	0	0	0	0	0	3
DR_OPL_418.ies	871.2	859.7	811.2	742.1	647.5	529.9	400.3	259.2	127.2	47	0	0	0	0	0	0	0	0	0	3
DR_OPL_ECO_LED_595_4000K.ies	1086.5	1064.8	1012	924.4	811.1	669.2	507.8	327.4	147.6	40	31.4	24.4	16	6.9	1.7	0.5	0.6	1.4	2.1	3
Flexline_120-28_8N.ies	736.3	723.4	691.9	633.8	555.2	454.7	336.6	206.1	77.2	1.5	0.1	0	0	0	0	0	0	0	0	3
Flexline_120-28_8WW.ies	736.3	723.4	691.9	633.8	555.2	454.7	336.6	206.1	77.2	1.5	0.1	0	0	0	0	0	0	0	0	3
Flexline_120-9_6N-IP67.ies	243.6	240.6	230.9	210	184.7	151.6	112.8	68.6	25.9	0.6	0	0	0	0	0	0	0	0	0	3
Flexline_120-9_6N.ies	243.6	240.6	230.9	210	184.7	151.6	112.8	68.6	25.9	0.6	0	0	0	0	0	0	0	0	0	3
Flexline_120-9_6WW.ies	243.6	240.6	230.9	210	184.7	151.6	112.8	68.6	25.9	0.6	0	0	0	0	0	0	0	0	0	3
Flexline_240-19_2N.ies	487.5	480.7	458.6	419.7	369	304	226.5	140.1	52	0.8	0	0	0	0	0	0	0	0	0	3
Flexline_240-19_2WW.ies	487.5	480.7	458.6	419.7	369	304	226.5	140.1	52	0.8	0	0	0	0	0	0	0	0	0	3
Flexline_60-14_4N-IP67.ies	373.5	365.1	347.1	317.4	277.2	226.6	168.4	102.8	38.6	1.1	0	0	0	0	0	0	0	0	0	3
Flexline_60-14_4N.ies	373.5	365.1	347.1	317.4	277.2	226.6	168.4	102.8	38.6	1.1	0	0	0	0	0	0	0	0	0	3
Flexline_60-14_4WW.ies	373.5	365.1	347.1	317.4	277.2	226.6	168.4	102.8	38.6	1.1	0	0	0	0	0	0	0	0	0	3
Flexline_96-7_7N-IP67.ies	196.6	194.1	185.9	169.3	147.8	120.5	88.9	54.3	20.4	0.7	0	0	0	0	0	0	0	0	0	3
Flexline_96-7_7N.ies	196.6	194.1	185.9	169.3	147.8	120.5	88.9	54.3	20.4	0.7	0	0	0	0	0	0	0	0	0	3
Flexline_96-7_7WW.ies	196.6	194.1	185.9	169.3	147.8	120.5	88.9	54.3	20.4	0.7	0	0	0	0	0	0	0	0	0	3
GRANDA_NBT_18_F123.ies	159.8	157.4	150.1	137.6	120.6	99.4	74.7	48.3	24.5	8.6	1.9	0.1	0	0	0	0	0	0	0	3
GRANDA_NBT_18_F126.ies	189.2	185.6	177.3	163.3	143.4	118.7	89.4	58.7	31.8	12.9	3	0.1	0	0	0	0	0	0	0	3
GRANDA_NBT_LED_18_4000K.ies	357.5	448.8	428.1	390.7	342.4	280.7	211.9	138	73.2	28.7	6.2	0.2	0	0	0.2	0.4	0.3	0.3	0	3
K_300_118.ies	115.5	114.9	110.1	102.1	91	76.9	60.8	42.5	24.1	12.1	10.9	9.4	7.6	6	4.7	3.4	2.1	0.8	0	3
K_300_218.ies	234.8	233.3	224.4	208.3	184.9	157.9	125.2	89.3	52.3	28.2	25.1	21.4	17.4	13.4	10.6	7.8	4.8	1.9	0.2	3
LB_S_C_ECO_LED_75_5000K.ies	357.5	3394.3	3301.9	3056.7	2653.6	2140.3	1316.7	471.5	2.4	0.2	0	0	0	0	0	0	0	0	0	3
LYRA_4200_4_LED.ies	62.4	62.8	59.4	55.8	49.2	41	31	27.6	21.6	10.4	2.1	0.1	0	0	0	0	0	0	0	3
MARS_EFS_203_LED.ies	50.5	49.7	47.8	44.5	40	33.2	25.9	20.2	13.4	8.8	5.6	4.3	2.4	1.3	0.6	0.1	0	0	0	3
NBT_11_F126.ies	312.5	308.5	296.3	274.7	243.2	204.3	163.1	122	84.1	51.5	24.5	7.4	0.2	0.2	0.4	0.4	0.5	0.5	0.7	3
OWP_336.ies	1359.6	1328.5	1252.5	1132.7	976.9	790	581	355.3	133.3	0.7	0	0	0	0	0	0	0	0	0	3
OWP_R_218.ies	413.6	404.7	380.8	343.4	295.5	238.8	176	107.6	41.2	0.2	0	0	0	0	0	0	0	0	0	3
OWP_R_236.ies	1026.3	1004.3	944.9	852	733.3	592.5	436.8	267.1	102.3	0.4	0	0	0	0	0	0	0	0	0	3
OWP_R_436_1195x595_IP54_IP54_HF.ies	2489.5	2426.1	2281.8	2061.3	1775.4	1429.5	1046.1	643.7	244.8	4.2	0	0	0	0	0	0	0	0	0	3
OWP_S_418.ies	783.4	769	735.8	664.8	569.8	462.7	344.2	213.6	83	0	0	0	0	0	0	0	0	0	0	3
OWS_R_418.ies	783.4	769	735.8	664.8	569.8	462.7	344.2	213.6	83	0	0	0	0	0	0	0	0	0	0	3
REFLECT_LED_D_1500_4000K.ies	1139.4	1126.5	1093.4	1027	929.3	781	593	370.6	153.2	66.8	173.7	0	0	0	0	0	0	0	0	3
STAR_NBT_11_F123.ies	222	217.3	207.5	190	167.1	137.6	103.7	67.2	34.3	11.8	2.3	0.1	0	0	0	0	0	0	0	3
TITAN_16_LED_OPL_5000K.ies	498	489.4	466.4	424.5	359	287.1	205.2	114.5	44	10.2	0.5	0	0	0	0	0	0	0	0	3
Vulcano_300.ies	771	755	705	628.4	532.8	427	314.8	202	93.5	2.7	0	0	0	0	0	0	0	0	0	3
ACORN_LED_20_D150_5000K.ies	357.5	869.1	1137	1276.3	1326.3	983.1	158.3	3.5	3.8	2.5	8	0.6	0.2	0.2	0.1	0.1	0.1	0.1	0	4
ATF_414.ies	1302.2	1328.1	1447.8	1605.1	1487.6	845.5	310	85.8	17.2	0	0	0	0	0	0	0	0	0	0	4
DLN_160.ies	77.1	83.7	117.5	139.9	138.5	111.9	75.7	39	9.2	0	0	0	0	0	0	0	0	0	0	4
DOMINO_LED_2x40_D120_4000K.ies	2672.8	2758.9	3104.2	4176.8	5502.9	5665.9	2277.8	433.6	216.8	116.9	0	0	0	0	0	0	0	0	0	4
DOMINO_LED_2x80_D120_4000K.ies	4527.5	4673.2	5258.1	7075	9321.2	9597.3	3858.3	734.5	367.2	198.1	0	0	0	0	0	0	0	0	0	4
DOMINO_LED_40_D120_4000K.ies	1336.4	1379.4	1552.1	2088.4	2751.4	2832.9	1138.9	216.8	108.4	58.5	0	0	0	0	0	0	0	0	0	4
DOMINO_LED_80_D120_4000K.ies	2263.7	2336.6	2629.1	3537.5	4660.6	4798.7	1929.2	367.3	183.6	99	0	0	0	0	0	0	0	0	0	4
HBA_250H_IP65_P3.ies	3818.2	3718.9	3914.6	4730.8	4193.9	1554.6	215.8	19.6	4	1	0	0	0	0	0	0	0	0	0	4
HBA_400_H_P1_IP65.ies	9793.5	6610	8054.2	10422.8	16825.4	3444.3	21.6	1.9	0.5	0.5	0.3	0	0	0	0	0	0	0	0	4
HBA_AL_250H_IP65.ies	3455	1965	3592.8	4597.6	12314.8	3214.2	17.2	1.2	1	0.8	0.2	0.2	0	0	0	0	0	0	0	4
HBA_AL_400H_IP23.ies	2621.4	2255.3	2836.9	3116.1	6362.3	14131	1652.7	18.6	5.4	1.1	0.3	0	0	0	0	0	0	0	0	4
HBA_AL_400S_IP65.ies	5149	3374.4	5315.5	6191.5	13189	15248.2	6251.5	343.2	1	1	0	0	0	0	0	0	0	0	0	4
HB_LED_152_D100_5000K.ies	3362	3446.4	3846.2	4519.6	5037.3	4703.4	2729	354.2	58.5	2.2	0.6	0.3	0	0	0	0	0	0	0	4
HB_LED_200_D100_5000K.ies	357.5	3498.6	3894.1	4605.4	5221.7	4946.3	2862.9	368.2	70.1	3	0.9	0.9	0	0	0	0	0	0	0	4
INSEL_LB_R_LED_100_D120_4000K.ies	1756	1808.7	2102.1	2606.3	2975.4	2905.5	1934.3	502.6	22.8	0.1	0	0	0	0	0	0	0	0	0	4
INSEL_LB_R_LED_120_D120_4000K.ies	2220.7	2287.4	2658.4	3296	3762.7	3674.3	2446.2	635.7	28.8	0.1	0	0	0	0	0	0	0	0	0	4
INSEL_LB_R_LED_70_D140_5000K.ies	357.5	1311	1485.5	1811.8	2094.4	2106.1	1522.2	484.9	44.1	0	0	0	0	0	0	0	0	0	0	4
INSEL_LB_R_LED_80_D140_4000K.ies	1447.2	1495.4	1724.6	2068.6	2393.7	2296.9	1555.1	508.1	38.7	0.2	0	0	0	0	0	0	0	0	0	4
INSEL_LB_S_LED_120_D120_4000K.ies	2220.7	2287.4	2658.4	3296	3762.7	3674.3	2446.2	635.7	28.8	0.1	0	0	0	0	0	0	0	0	0	4
MIZAR_SIGN_SP_LED.ies	1.52899998426437	4.44799995422363	3.33599996566772	2.08499997854233	18.486999809742	6.39399993419647	5.00399994850159	2.50199997425079	0.694999992847443	0.277999997138977	0.416999995708466	0.416999995708466	0.277999997138977	0.138999998569489	0.277999997138977	0.555999994277954	0.416999995708466	0.277999997138977	0	4
MIZAR_SP_LED.ies	0.3	5.7	4.9	8.4	18.5	7.1	9.2	1.8	1.9	2.2	2	0.4	1	0.5	0.5	0.5	0.7	0.7	0	4
OWF_R_414.ies	1076.8	1158.5	1350.7	1849.3	2077.6	847.2	123.9	10.8	2.4	0	0	0	0	0	0	0	0	0	0	4
OWP_255.ies	1597.9	1679.3	1768.7	1923.2	2174.3	1858.3	785.2	109.9	5	0	0	0	0	0	0	0	0	0	0	4
PTF_R_LED_UNI_1200_4000K.ies	971.8	961.6	949.9	995.1	1137.2	1033.6	474.3	96.1	8.1	0	0	0	0	0	0	0	0	0	0	4
PTF_R_UNI_LED_595_EM_4000K.ies	357.5	1048.8	1020.6	1013.4	1132.4	1311.4	660.8	8.8	0.4	0	0	0	0	0	0	0	0	0	0	4
PTF_UNI_LED_595_4000K.ies	357.5	1048.8	1020.6	1013.4	1132.4	1311.4	660.8	8.8	0.4	0	0	0	0	0	0	0	0	0	0	4
PTF_UNI_LED_595_EM_4000K.ies	357.5	1048.8	1020.6	1013.4	1132.4	1311.4	660.8	8.8	0.4	0	0	0	0	0	0	0	0	0	0	4
SMART_ECO_LED_150_4000K.ies	357.5	3365.8	3690.6	4234.5	4688	4988.2	5051	4692.6	3059.4	33.7	0	0	0	0	0	0	0	0	0	4
